article,highlights,id
"SHANGHAI, China -- Championship leader Lewis Hamilton spun out of the Chinese Grand Prix to send the world title race to a cliffhanger finale in Brazil on October 21. A disconsolate Lewis Hamilton leaves his car after spinning into the gravel trap in Shanghai. Rookie Hamilton can still clinch the crown with third place in the closing race, but saw his 12-point lead cut to four by McLaren team-mate Fernando Alonso in Shanghai. The Spaniard finished second behind Ferrari's Kimi Raikkonen, who also kept his title hopes alive by moving within seven points of Hamilton. The young Briton started the race in pole position and at one stage led Raikkonen by more than eight seconds as he again showed superb skills in the wet conditions. However, the 22-year-old stayed out on the drying track too long in his wet tires, which deteriorated at an alarming rate to let Finland's Raikkonen take the lead. And when Hamilton -- who won in Japan last week to give himself the chance of clinching the title this weekend -- finally headed toward the pit lane, he spun out onto the gravel to end his chances with 25 laps to go. Raikkonen and Alonso both switched to dry tires on the 32nd of the 56 laps, with the Finn going on to win by by 9.8 seconds for his fifth victory this season -- one more than both Hamilton and Alonso. Raikkone's team-mate Felipe Massa was third, while fourth place was claimed by Toro Rosso's Sebastien Vettel, who was last week reprimanded for causing an accident in Japan behind the safety car while Hamilton was cleared of any wrongdoing. Britain's Jenson Button was fifth in a Honda ahead of Vettel's team-mate Vitantonio Liuzzi, while Germany's Nick Heidfeld was seventh for BMW Sauber and David Coulthard of Scotland took the final point for Red Bull. Hamilton was still confident he could bounce back after suffering his first retirement of the season. ""I'm sorry for the team but I can still do it, don't worry,"" he said. ""When I got out of the car I was just gutted because it was my first mistake all year, and to do it on the way into the pits was not something I usually do. ""You cannot go through life without making mistakes. But I am over it and we look forward to Brazil. The team will be working hard to make sure the car is quick enough there, and we still have points in the bag. ""We were having a great race and we didn't know if it was going to rain or not. The tyres were getting worse and worse and you could almost see the canvas underneath. When I came into the pits it was like ice, I couldn't do anything about it."" McLaren boss Ron Dennis refused to blame his driver or his team for the spin-off. ""It's too extreme to say anyone made a mistake in this. It has been a very competitive season between our drivers and it will go on for another Grand Prix,"" Dennis said. ""I don't think we did anything dramatically wrong and neither did Lewis. But the circuit was considerably drier than the pit lane entrance. That's what made the difference. ""It was easy to say that we could have stopped earlier, but would it have made a difference? All the top teams -- Ferrari and ourselves -- were trying to get through the rain and straight onto a dry tire."" Alonso, who qualified for the race in fourth, is seeking to become the third driver to win three world titles. ""The result was good today and the eight points are a help for sure,"" he said. ""I think the championship will still be very difficult because I know it will not be easy to take four points from Lewis. ""I need something dramatic if I want to win. With a normal race it will be impossible."" Raikkonen added: ""We are back in the championship and it will be interesting in the final race. ""Hopefully the car is good and it will be a battle all weekend. It is not just up to us though, we saw today that anything can happen, but we are back in the championship.""  E-mail to a friend .","Lewis Hamilton fails to clinch world title after spinning out of the Chinese GP .
Briton's lead cut to four points by McLaren team-mate Fernando Alonso .
Alonso finished second in Shanghai behind Ferrari's Kimi Raikkonen .",dcd60a85e1e17ec0163a925c9412d480fd08072f
"(CNN) -- China has suspended exports of the Aqua Dots toys contaminated with a chemical that can convert to a powerful ""date rape"" drug, the state-run Xinhua news agency reported Saturday. The toys have caused some children who swallowed the craft toys to vomit and lose consciousness. China suspended exports of the Aqua Dots toys that contain a chemical that converts into a ""date rape"" drug. The agency said that the General Administration of Quality Supervision, Inspection, and Quarantine (AQSIQ) has ordered an investigation by quality control agencies and will release results as soon as they are available. The AQSIQ did not reveal the name of the toys' producer, Xinhua said. U.S. safety officials voluntarily recalled about 4.2 million of the Chinese-made toys Wednesday. Scientists have found the highly popular holiday toy contains a chemical that, once metabolized, converts into the toxic ""date rape"" drug GHB (gamma-hydroxy butyrate), Scott Wolfson, a spokesman with the U.S. Consumer Product Safety Commission (CPSC), told CNN. ""Children who swallow the beads can become comatose, develop respiratory depression or have seizures,"" a CPSC statement warned. The arts-and-craft beads, which have been selling since April at major U.S. retail stores under the name ""Aqua Dots,"" have also been distributed in Australia under the name ""Bindeez Beads."" The Bindeez toys were recalled Tuesday by Melbourne-based Moose Enterprise Pty. Ltd. after three children in Australia swallowed large quantities of the beads and were hospitalized. ""I was so frightened because I thought she wasn't going to make it,"" Heather Lehane told CNN affiliate Network 7 of her 10-year-old daughter, Charlotte, who was hospitalized in Australia after ingesting some of the beads. In the United States, the Washington-based safety commission said it has in recent days received two reports detailing the severe effects of the digested beads, which are part of a craft kit aimed at kids 4 years and older. The CPSC said a boy nearly 2 years old ""swallowed several dozen beads. He became dizzy and vomited several times before slipping into a comatose state for a period of time."" The commission said the toddler was hospitalized and has since ""fully recovered."" The second incident involved a child who vomited, fell into a coma and was hospitalized for five days. It was not immediately clear whether the child had made a full recovery. Toronto-based toy distributor Spin Master Ltd. stopped shipping the Aqua Dots toys and asked retailers to pull them off their shelves, where they were previously sold for $17 to $30. Anyone with Aqua Dots at home should return the product to the company, CPSC spokeswoman Julie Vallese said. The toy had been named toy of the year in Australia and recently crested Wal-Mart's list of top 12 Christmas toys. Wal-Mart on Thursday listed the toys on its Web site as ""out of stock online"" and had removed them from their top toy list as well. This latest recall is part of a larger batch of recalls of Chinese-made toys that have swept across the country. Last month alone, U.S. government safety officials and retailers voluntarily recalled at least 69,000 Chinese-made toys over concerns of excessive amounts of lead paint, which can cause hazardous lead poisoning. E-mail to a friend . CNN's Janine Brady, Jason Carroll, Laura Dolan, Julie O'Neill and Leslie Wiggins contributed to this report.","State-run news agency: China orders an investigation by quality control agencies .
Children who swallow the beads can become comatose or have seizures .
Toys are sold as Aqua Dots in the U.S., as Bindeez Beads in Australia .
Three children were hospitalized in Australia after swallowing large quantities .",700e0d133d2f5c2e65960aae7bffa66bb62c0df4
"(CNN) -- The company was founded in 1985 by seven communications industry veterans -- Franklin Antonio, Adelia Coffman, Andrew Cohen, Klein Gilhousen, Irwin Jacobs, Andrew Viterbi and Harvey White. One of Qualcomm's first products was OmniTRACS, introduced in 1988, which is currently the largest satellite-based commercial mobile system for the transportation industry. Today, Qualcomm's patent portfolio includes approximately 6,100 United States patents and patent applications for CDMA and related technologies. More than 130 telecommunications equipment manufacturers worldwide have licensed QUALCOMM's essential CDMA patents. Qualcomm is among the members of the S&P 500 Index, Fortune 500, and a winner of the U.S. Department of Labor's"" Secretary of Labor's Opportunity Award."" The company has been listed among Fortune's ""100 Best Companies to Work For in America"" for nine years in a row and the magazine's list of"" Most Admired Companies."" Qualcomm's Annual revenue for 2006 was $7.53 billion, with a net income of $2.47 billion. E-mail to a friend .","The company has become a huge name in communications in just 20 years .
Qualcomm has a portfolio of approximately 6,100 U.S. patents .
Fortune lists the company as one of the 100 best places to work in the U.S.",3c5b68b58c34853baa534d1265ec7fde00d4eb4e
"ISLAMABAD, Pakistan (CNN) -- Hours after declaring a state of emergency Saturday, Pakistani President Pervez Musharraf ordered troops to take a television station's equipment and put a popular opposition leader under house arrest. President Pervez Musharraf explains his actions in a televised address Saturday. Musharraf also suspended the constitution and dismissed the Pakistan Supreme Court's chief justice for the second time. On Sunday, police arrested the Javed Hashmi, the acting president of ex-Prime Minister Nawaz Sharif's opposition party was arrested, along with 10 aides, The Associated Press reported. Hashimi was arrested when he stepped outside his house in the central city of Multan, AP reported. The country is at a critical and dangerous juncture -- threatened by rising tensions and spreading terrorism, Musharraf said in a televised address to the nation after declaring martial law. As Pakistani police patrolled the streets of the capital, Islamabad, Musharraf said his actions were ""for the good of Pakistan.""  Watch Musharraf's speech » . There was quick condemnation from within and outside his country. The Supreme Court declared the state of emergency illegal, claiming Musharraf -- who also is Pakistan's military chief -- had no power to suspend the constitution, Chief Justice Iftikhar Mohammed Chaudhry said. Shortly afterward, government troops came to Chaudhry's office and told him the president had dismissed him from his job. Justice Abdul Hameed Dogar was quickly appointed to replace him, according to state television. It was the second time Chaudhry was removed from his post. His ousting by Musharraf in March prompted massive protests, and he was later reinstated.  See a timeline of upheaval in Pakistan » . Musharraf complained in his speech that the media -- which he made independent -- have not been supportive, but have reported ""negative"" news. Early Sunday, two dozen policemen raided the offices of AAJ-TV in Islamabad, saying they had orders to take the station's equipment. The government also issued a directive warning the media that any criticism of the president or prime minister would be punishable by three years in jail and a fine of up to $70,000,  said Talat Hussain, director of news and current affairs for AAJ.  Watch a former Pakistani P.M. call the developments in his country 'disturbing' » . U.S. Secretary of State Condoleezza Rice -- who is in Turkey for a conference with Iraq and neighboring nations -- said The United States doesn't support any extra-constitutional measures taken by Musharraf. ""The situation is just unfolding,"" Rice said. ""But anything that takes Pakistan off the democratic path, off the path of civilian rule is a step backward, and it's highly regrettable."" A senior Pakistani official said the emergency declaration will be ""short-lived,"" and will be followed by an interim government. Martial law is only a way to restore law and order, he said. Mahmud Ali Durrani, Pakistan's ambassador to the United States, agreed. ""I can assure you, he will move on the part of democracy that is promised ... and you will see that happen shortly."" Musharraf was re-elected president in October, but the election is not yet legally official, because the Supreme Court is hearing constitutional challenges to Musharraf's eligibility filed by the opposition. Under the constitution, Musharraf couldn't run for another term while serving both as president and military leader. The court allowed the election to go ahead, however, saying it would decide the issue later. Some speculated that the declaration of emergency is tied to rumors the court was planning to rule against Musharraf. Musharraf has said repeatedly he will step down as military leader before the next term begins on November 15 and has promised to hold parliamentary elections by January 15. Meanwhile, popular opposition leader Imran Khan said early Sunday that police surrounded his house in Lahore, barged in and told him he was under house arrest. Musharraf also had Khan placed under house arrest during a government crackdown in March 2006. Asked about Musharraf's actions Saturday, Khan said, ""We are going to oppose this in every way."" ""None of us accept ... this whole drama about emergency."" Former Prime Minister Benazir Bhutto -- who arrived in Karachi Saturday from Dubai, where she had gone to visit her family -- described a ""wave of disappointment"" at Musharraf's actions.  Watch crowds surround Bhutto upon her arrival » . Bhutto -- who returned to Pakistan last month after several years in exile -- wants to lift her Pakistan People's Party to victory in January's parliamentary election in the hope she can have a third term as prime minister. The nation's political atmosphere has been tense for months, with Pakistani leaders in August considering  a state of emergency because of the growing security threats in the country's lawless tribal regions. But Musharraf, influenced in part by Rice, held off on the move.  Watch a report on the volatile situation in Pakistan » . Musharraf, who led the 1999 coup as Pakistan's army chief, has seen his power erode since the failed effort to oust Chaudhry. His administration is also struggling to contain a surge in Islamic militancy. E-mail to a friend . Copyright 2007 CNN. All rights reserved.This material may not be published, broadcast, rewritten, or redistributed. Associated Press contributed to this report.","NEW: President Musharraf orders troops to take a television station's equipment .
Pakistani opposition leader Imran Khan says he's under house arrest .
President Musharraf says his actions are for the good of the country .
White House calls Musharraf's emergency declaration ""disappointing""",b73f50e29d5b2943eb315643bef8ee4e09f5605b
"QUEBEC, Canada -- Third seed Julia Vakulenko will face comeback queen Lindsay Davenport in her first WTA Tour final at the Bell Challenge on Sunday. Julia Vakulenko will seek her first victory on the WTA Tour at the Bell Challenge in Quebec. The Ukrainian battled through with a 6-1 4-6 7-5 victory over American qualifier Julie Ditty in the semifinals. The 24-year-old, who reached the fourth round of the U.S. Open, had previously twice lost at the last-four stage this year in Las Vegas and Berlin. She reached a career high of 33rd in the world rankings back in May, but is now 36th. ""Sometimes you play your best and win easy, but sometimes you don't play your best and really have to fight hard,"" said Vakulenko, who squandered points for 5-3 leads in both the second and third sets. ""I'm just going to try my best -- I've never played her and I'm looking forward to it."" Former world No. 1 Davenport is seeking her second win in three tournaments since returning from a one-year hiatus to have a baby. The 31-year-old, who is unseeded after accepting a wild-card to enter the Canadian tournament for the first time, also had to battle to beat Russian second seed Vera Zvonareva 6-2 6-7 (3-7) 6-3 in the semifinals. The three-time Grand Slam winner has surged back up the rankings from 234th to 126th after winning her comeback tournament in Bali and then reaching the last four in Beijing. The American has now beaten Zvonareva in all six encounters between the two players. ""I played well in the first set and had some chances early in the second set, but I didn't quite capitalize on them. I was able to come back but at 4-4 and 5-5 I just didn't return well enough,"" Davenport said. ""I was happy I was able to regroup in the third set. Physically I feel good. There are lots of positives I can take from it, especially beating a really good player and now being in the final. ""I want to be the one on the offensive and not the defensive, and that's what I'm going to try to do. ""I was trying to watch the first semifinal and see if that helped, but I play so much differently than Julie Ditty that it was hard to get anything from it.""  E-mail to a friend .","Julia Vakulenko has reached her first final on the WTA Tour at Bell Challenge .
The Ukrainian third seed will face Lindsay Davenport after beating Julie Ditty .
Former world No. 1 Davenport defeated Russian second seed Vera Zvonareva .",72f4a6670ec7ec915c83d58bb0ebf152b1605bb6
"SAN DIEGO, California (CNN) -- More than 100 homes in an upscale San Diego community were evacuated after a landslide about 60 yards wide pulled the earth from beneath a three-lane road and some of the multimillion-dollar homes that adorn it. Gina Yarbrough sent this picture of the road that collapsed in Wednesday's landslide. Mayor Jerry Sanders declared a state of emergency, asking California and the federal government to help the La Jolla community recover from the Wednesday landslide. As of Thursday morning, he had already received offers of aid from legislators, the governor's office and the White House, he said. Officials warned for at least two weeks that the ground was shifting beneath the hillside community along Soledad Mountain Road. Holes were drilled into the unsettled hillside to investigate the cause and magnitude of the shift, which earlier ruptured a water line, and according to some media reports, began cracking Soledad Mountain Road in July. On Wednesday, a 20-foot-deep chasm opened beneath the road and homes. Holli Weld told San Diego's KGTV that she was walking her son to preschool when the street collapsed.  Watch a resident recall how he had to grab his dogs and run » . ""The street was sinking before our eyes,"" she said. Authorities told KGTV that most residents were at work and only seven people were in their homes when the landslide occurred. Evacuated homeowner Russell Moore told CNN he remembers hearing the earth ""groan"" in what he called a ""slow avalanche."" ""The asphalt that should be under my feet was 8 feet in the air,"" Moore said. ""We watched the trees snapping and cracking and more boulders come down to our feet and we were witnessing this move.""  See photos of the hole the landslide left in La Jolla » . At least 111 homes were evacuated, but Sanders said residents would be allowed to return to 75 of those houses by early Thursday morning. Several homes were damaged and at least one was destroyed, according to media reports. Nine homes are ""red tagged,"" meaning no one is allowed to enter them, and 27 more are ""yellow tagged,"" which means residents can return for necessities, but cannot stay, Sanders said. According to the San Diego Union-Tribune, the landslide downed power lines and caused a minor gas leak. More than 2,400 customers were briefly left without electricity, but most residents had their power restored by Thursday, KGTV reported. The Red Cross opened a shelter at La Jolla High School. Deputy city engineer Robert Hawk told the Union-Tribune that the hillside has slowly been slipping for years because the soil is unstable. Landslide incidents in the neighborhood date back to the 1960s, Hawk told the newspaper. Pat Abbott, a retired geological sciences professor at San Diego State University, told the Union-Tribune that Mount Soledad is made up of weak layers of rock and that the culprit in the landslide is nature. ""Gravity pulling on the incline is pulling down masses of earth and those masses of earth have houses on top of them,"" Abbott told the paper. ""It's a geologically bad site and should not have been built on to begin with."" E-mail to a friend .","San Diego mayor declares state of emergency; White House, governor offer aid .
Officials were investigating the shifting earth in the area for weeks .
Residents can return to 75 of the 111 evacuated homes Thursday, mayor says .
""We watched the trees snapping and cracking,"" says one evacuated resident .",2fff2bc541ef34a6647dfa2e4294cdcc187e47b9
"(CNN) -- A former government contract employee was indicted on charges of stealing restricted nuclear energy-related materials and putting the United States at risk, the Department of Justice announced Thursday. Sources say the classified materials were taken from the East Tennessee Technology Park. Roy Lynn Oakley, 67, of Roane County, Tennessee, appeared in federal court in Knoxville on Thursday. Oakley was briefly detained for questioning in the case in January, when authorities first learned of the alleged plot to divulge the materials, government sources told CNN. He voluntarily surrendered Thursday at an FBI field office in Knoxville, the sources said. Oakley is a former employee of Bechtel Jacobs, the Department of Energy's prime environmental management contractor at the East Tennessee Technology Park, prosecutors said. The indictment states that Oakley, ""having possession of, access to and having been entrusted with sections of 'barriers' and associated hardware used for uranium enrichment through the process of gaseous diffusion ... having reason to believe that such data would be utilized to injure the United States and secure an advantage to a foreign nation, did communicate, transmit and disclose such data to another person."" The transfer took place January 26, the indictment alleges. Oakley is also charged with converting the material and ""restricted data"" to his own use. He began doing so on about October 17, 2006, and continued through January, prosecutors said. Prosecutors said the materials involved have been examined by scientists and posed no threat to people who may have come into contact with them. Oakley's attorney, Herb Moncier, said outside court Thursday that Oakley's job was to break rods ""into little pieces"" and throw them away. Moncier said Oakley had a security clearance, but Moncier did not believe it was a high-level clearance. The government alleges that in January, Oakley attempted to sell the ""pieces of scrap"" to someone he thought was a French agent -- but in reality was an undercover FBI agent, Moncier said. He said he questions whether those broken pieces would be considered an ""appliance"" under the law. ""Mr. Oakley has cooperated fully for the last six months,"" said Moncier, who added that he had traveled to Washington for work on the case. Each count carries a possible sentence upon conviction of up to 10 years in prison and a $250,000 fine. ""While none of the stolen equipment was ever transmitted to a foreign government or terrorist organization, the facts of this case demonstrate the importance of safeguarding our nuclear technology and pursuing aggressive prosecution against those who attempt to breach the safeguards and put that technology in the wrong hands,"" Kenneth Wainstein, assistant attorney general for national security, said in the Justice Department statement. One government source said the materials involved are not the ""crown jewels,"" but they should not have been taken from the facility. A ""barrier"" is used to filter uranium during the enrichment process, according to nuclear energy officials, but a significant number of barriers are needed to do that job. Sources told CNN that federal authorities have been following Oakley and investigating the case for at least six months, after he allegedly tried to sell the classified material. Oakley, described as a low-level employee, apparently did not make contact with any foreign government and is not a foreign agent of any kind, an official familiar with the case said. A government official with with knowledge of the case said that when authorities learned of Oakley's alleged intentions six months ago, the FBI and Department of Energy launched a joint investigation. The FBI then developed a sting operation, government officials familiar with the case said, and authorities intervened before there could be any involvement of a foreign country. East Tennessee Technology Park is an area of the DOE's Oak Ridge reservation ""where we are currently decontaminating and decommissioning buildings that were last used in 1985,"" Gerald Boyd, manager of the DOE's Oak Ridge site office, said Thursday. ""When they were in use, now over 20 years ago, some of the buildings at ETTP housed facilities used for the enrichment of uranium."" Boyd said the technology park and the reservation ""are protected by multiple layers of security systems and detection programs, both visible and unseen, meant to identify rogue employees attempting to abuse their access and position."" In this case, a review of security procedures showed that the system worked and ""successfully identified the individual in question,"" he said. E-mail to a friend . CNN's Terry Frieden and Kelli Arena contributed to this report.","NEW: Indictment: Man tried to pass nuclear filters to foreign agent .
NEW: Roy Lynn Oakley appears in court in Tennessee after surrendering .
NEW: Facility's role is to break down decommissioned equipment .
NEW: Lawyer: Oakley's job was to break machine parts into pieces, pitch them .",d41dc7fc05273a37f0aceaf4f3e35a187f12653e
"HELSINKI, Finland (CNN) -- An 18-year-old authorities say shot eight people inside his high school in southern Finland, before turning the gun on himself, has died, police said. An image from a video posted on YouTube by ""Sturmgeist89."" The shooting appeared to have been planned out in graphic videos posted on Internet file-sharing site YouTube. At a news conference this afternoon, police confirmed the dead numbered two girls, five boys and the school's headmistress at Jokela High in Tuusula, a quiet town around 50 kilometers (30 miles) north of Helsinki. Ten other people were taken to a hospital with minor injuries. The shooter, whom police identified as Pekka Eric Auvinen, died at Toolo Hospital, authorities said. Police said he took his own life. It was the first school shooting in Finland since 1989, when a 14-year-old student shot and killed two others in the coastal town of Rauma, the Finnish news agency STT reported. Police said Auvinen is from Tuusula and who acted alone. He had no previous criminal record and had never threatened anyone from the school before, they added. Auvinen published a manifesto online demanding war on the ""weak-minded masses"" and pledged to die for his cause.  Watch Auvinen fire weapons in video from his Web page » . YouTube appeared to have removed 89 videos linked to his account, many of them featuring Nazi imagery, shortly after the incident. Finnish media reported someone posted a message two weeks ago on the Web site, warning of a bloodbath at the school. A video posted earlier Wednesday, by ""Sturmgeist89,"" was titled ""Jokela High School Massacre - 11/7/2007."" ""Sturmgeist89"" identified himself as Auvinen, and said he chose the name ""Sturmgeist"" because it means ""storm spirit"" in German. The video showed a picture of the school, which then disintegrated to reveal two images of Auvinen against a red background, pointing a gun at the screen. The clip is accompanied by the song ""Stray Bullet"" from rock band KMFDM. Eric Harris and Dylan Klebold, the students behind the 1999 Columbine High School massacre, also cited that group's lyrics. Another short video clip, called ""Just Testing My Gun,"" showed Auvinen loading and cocking a handgun. He fired and hit several pieces of fruit in a wooded area; the camera then showed a close-up of the destroyed fruit, and then a full-screen shot of him again. He waved at the camera and then walked out of view. The site indicated that the youth appeared to be fascinated with killing. As well as video footage of the Columbine school shootings, it also included clips of the 1993 Waco siege in the United States, the 1995 sarin gas attack in Tokyo, and bombs falling on Baghdad during the 2003 invasion. Many showed victims being wheeled away or people running for their lives. Throughout all of this, the single word ""DIE"" constantly flashed across the screen. Other video clips included Nazi-war-criminal footage. In the rambling text posted on the site, Auvinen said that he is ""a cynical existentialist, anti-human humanist, anti-social social-Darwinist, realistic idealist and god-like atheist. ""I am prepared to fight and die for my cause,"" he wrote. ""I, as a natural selector, will eliminate all who I see unfit, disgraces of human race and failures of natural selection."" The police said at this afternoon's press conference that they had been fired at when they arrived at the school at 11.45 p.m. local time (9.45 a.m. GMT). They described the scene as chaotic, with some of the 460 students, ranging in age from 12 to 18, breaking windows in an attempt to escape. When the police's special SWAT unit entered the high school they found the gunman unconscious and in critical condition in the lower lobby of the building with a gunshot wound to his head. Police assume he tried to take his own life as no officers fired at him.  Several bodies were also found in the same location, where the shooting is believed to have begun, they added. They could not confirm comments by some students that Auvinen was firing through doors. Police also said that the gun Auvinen used, which was fully licensed, had been purchased less than a month ago on October 19. The legal age limit to own a gun in Finland is 18, which Auvinen passed in June of this year. He had a recommendation from a shooting club when he obtained the gun, police added, and practised sharp-shooting as a hobby at a shooting range. Finland, which enjoys a strong tradition of hunting, has a high proportion of gun ownership, with two million firearms owned in a nation of only five million. The Associated Press reported comments from Kim Kiuru, one of the school's teachers, on radio station YLE. Kiuru described how the headmistress used the public address system around noon to tell pupils to stay in classrooms. He said he locked his classroom door, then waited in the corridor for more news. ""After that I saw the gunman running with what appeared to be a small-caliber handgun in his hand through the doors towards me, after which I escaped to the corridor downstairs and ran in the opposite direction, "" Kiuru said. The agency reported Kiuru as saying that he saw a woman's body as he fled the school, before telling his pupils to leave the building through the windows.  E-mail to a friend . Copyright 2007 CNN. All rights reserved.This material may not be published, broadcast, rewritten, or redistributed. Associated Press contributed to this report.","NEW: Teen gunman is dead, Finnish police say .
Eight people, including headmistress, shot at Finnish school, say police .
Firearm bought legally last month, shooting began in school's lower lobby .
Shooting appeared to have been planned in series of YouTube videos .",87385fb51ac9eaf76e8421723c94410f724750fc
"WASHINGTON (CNN) -- As he awaits a crucial progress report on Iraq, President Bush will try to put a twist on comparisons of the war to Vietnam by invoking the historical lessons of that conflict to argue against pulling out. President Bush pauses Tuesday during a news conference at the  North American Leaders summit in Canada. On Wednesday in Kansas City, Missouri, Bush will tell members of the Veterans of Foreign Wars that ""then, as now, people argued that the real problem was America's presence and that if we would just withdraw, the killing would end,"" according to speech excerpts released Tuesday by the White House. ""Three decades later, there is a legitimate debate about how we got into the Vietnam War and how we left,"" Bush will say. ""Whatever your position in that debate, one unmistakable legacy of Vietnam is that the price of America's withdrawal was paid by millions of innocent citizens, whose agonies would add to our vocabulary new terms like 'boat people,' 're-education camps' and 'killing fields,' "" the president will say. The president will also make the argument that withdrawing from Vietnam emboldened today's terrorists by compromising U.S. credibility, citing a quote from al Qaeda leader Osama bin Laden that the American people would rise against the Iraq war the same way they rose against the war in Vietnam, according to the excerpts. ""Here at home, some can argue our withdrawal from Vietnam carried no price to American credibility, but the terrorists see things differently,"" Bush will say. On Tuesday, Democratic Senate Majority Leader Harry Reid said, ""President Bush's attempt to compare the war in Iraq to past military conflicts in East Asia ignores the fundamental difference between the two. Our nation was misled by the Bush Administration in an effort to gain support for the invasion of Iraq under false pretenses, leading to one of the worst foreign policy blunders in our history. ""While the President continues to stay-the-course with his failed strategy in Iraq, paid for by the taxpayers, American lives are being lost and there is still no political solution within the Iraqi government. It is time to change direction in Iraq, and Congress will again work to do so in the fall."" The White House is billing the speech, along with another address next week to the American Legion, as an effort to ""provide broader context"" for the debate over the upcoming Iraq progress report by Gen. David Petraeus, the top U.S. military commander, and Ryan Crocker, the U.S. ambassador in Baghdad. President Bush has frequently asked lawmakers -- and the American people -- to withhold judgment on his troop ""surge"" in Iraq until the report comes out in September.  Watch Bush criticize the Iraqi government » . It is being closely watched on Capitol Hill, particularly by Republicans nervous about the political fallout from an increasingly unpopular war. Earlier this month, Defense Secretary Robert Gates said he would wait for the report before deciding when a drawdown of the 160,000 U.S. troops in Iraq might begin. Bush's speeches Wednesday and next week are the latest in a series of attempts by the White House to try to reframe the debate over Iraq, as public support for the war continues to sag. A recent CNN/Opinion Research Corporation poll found that almost two-thirds of Americans -- 64 percent -- now oppose the Iraq war, and 72 percent say that even if Petraeus reports progress, it won't change their opinion. The poll also found a great deal of skepticism about the report; 53 percent said they do not trust Petraeus to give an accurate assessment of the situation in Iraq. In addition to his analogy to Vietnam, Bush in Wednesday's speech will invoke other historical comparisons from Asia, including the U.S. defeat and occupation of Japan after World War II and the Korean War in the 1950s, according to the excerpts. ""In the aftermath of Japan's surrender, many thought it naive to help the Japanese transform themselves into a democracy. Then, as now, the critics argued that some people were simply not fit for freedom,"" Bush will say. ""Today, in defiance of the critics, Japan ... stands as one of the world's great free societies."" Speaking about the Korean War, Bush will note that at the time ""critics argued that the war was futile, that we never should have sent our troops in, or that America's intervention was divisive here at home."" ""While it is true that the Korean War had its share of challenges, America never broke its word,"" Bush will say. ""Without America's intervention during the war, and our willingness to stick with the South Koreans after the war, millions of South Koreans would now be living under a brutal and repressive regime."" E-mail to a friend .","President Bush to address the Veterans of Foreign Wars on Wednesday .
Bush to say that withdrawing from Vietnam emboldened today's terrorists .
Speech will be latest White House attempt to try to reframe the debate over Iraq .",017d27d00eb43678c15cb4a8dd4723a035323219
"LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell on him. Daniel Radcliffe as Harry Potter in ""Harry Potter and the Order of the Phoenix"" To the disappointment of gossip columnists around the world, the young actor says he has no plans to fritter his cash away on fast cars, drink and celebrity parties. ""I don't plan to be one of those people who, as soon as they turn 18, suddenly buy themselves a massive sports car collection or something similar,"" he told an Australian interviewer earlier this month. ""I don't think I'll be particularly extravagant. ""The things I like buying are things that cost about 10 pounds -- books and CDs and DVDs."" At 18, Radcliffe will be able to gamble in a casino, buy a drink in a pub or see the horror film ""Hostel: Part II,"" currently six places below his number one movie on the UK box office chart. Details of how he'll mark his landmark birthday are under wraps. His agent and publicist had no comment on his plans. ""I'll definitely have some sort of party,"" he said in an interview. ""Hopefully none of you will be reading about it."" Radcliffe's earnings from the first five Potter films have been held in a trust fund which he has not been able to touch. Despite his growing fame and riches, the actor says he is keeping his feet firmly on the ground. ""People are always looking to say 'kid star goes off the rails,'"" he told reporters last month. ""But I try very hard not to go that way because it would be too easy for them."" His latest outing as the boy wizard in ""Harry Potter and the Order of the Phoenix"" is breaking records on both sides of the Atlantic and he will reprise the role in the last two films.  Watch I-Reporter give her review of Potter's latest » . There is life beyond Potter, however. The Londoner has filmed a TV movie called ""My Boy Jack,"" about author Rudyard Kipling and his son, due for release later this year. He will also appear in ""December Boys,"" an Australian film about four boys who escape an orphanage. Earlier this year, he made his stage debut playing a tortured teenager in Peter Shaffer's ""Equus."" Meanwhile, he is braced for even closer media scrutiny now that he's legally an adult: ""I just think I'm going to be more sort of fair game,"" he told Reuters. E-mail to a friend . Copyright 2007 Reuters. All rights reserved.This material may not be published, broadcast, rewritten, or redistributed.","Harry Potter star Daniel Radcliffe gets £20M fortune as he turns 18 Monday .
Young actor says he has no plans to fritter his cash away .
Radcliffe's earnings from first five Potter films have been held in trust fund .",42c027e4ff9730fbb3de84c1af0d2c506e41c3e4
